,label,teks,clean
991,1,"Baru dicolokin udah rusak, bunyi ""beep"" berulang ulang.  Untung bisa diretur. Sepertinya dari ekspedisinya.",dicolokin sudah rusak bunyi beep ulang ulang untung retur ekspedisi
992,5,Kinerja nya memuaskan.,kerja nya muas
993,1,baru di pake 2 minggu sudah hang...,pakai minggu hang
994,5,"Sesuai dengan apa yang dipromosikan bonusnya, belum dicoba tapi mudah mudahan ok",sesuai promosi bonus coba mudah mudah ok
995,1,Jangan tipu pembeli Saya beli CANVIO READY Dikirimkan CANVIO BASICS Penjual pasti tahu bedanya Sungguh kecewa,tipu beli beli canvio ready kirim canvio basics jual beda sungguh kecewa
996,1,"MENGECEWAKAN Saya beli CANVIO READY Dikirimkan CANVIO BASICS Penjual pasti tahu bedanya, beda harga beda fitur Sungguh kecewa",kecewa beli canvio ready kirim canvio basics jual beda beda harga beda fitur sungguh kecewa
997,3,"Kurang puas dengan pengiriman Barang  melalui ESL EXPRESS, karena pengiriman Dari jakrta harus transit ke Palembang. tidak langsung ke bengkulu. jadi agak lama sampai.",puas kirim barang esl express kirim Jakarta transit palembang langsung bengkulu
998,4,Barangnya sudah sampai. Lebih cepat dr estimasi pengiriman. Oke dan bagus. Makasih buat fast respon dan pengirimannya,barang cepat dari estimasi kirim oke bagus terimakasih fast respon kirim
999,4,"mantap barangnya, meski transfer file nya biasa aja, dan penyimpanan nya cuma 930 gb, memori untuk sistem nya saya rasa terlalu besar masa perlu 70 gb",mantap barang transfer file nya saja simpan nya memori sistem nya
1000,5,"Waktu pengiriman order lebih cepat dari perkiraan. CS  mengkonfirmasi cepat dan jelas,  ramah lagi... Barang yg dipesan sesuai spec,  ok banget!",kirim order cepat kira cs konfirmasi cepat ramah barang yang pes sesuai spec ok banget
1001,5,hadiahnyaaa byak bgt,hadiahnyaaa byak banget
1002,5,bintang yg bicara........,bintang yang bicara
1003,5,"cepet bgt , barang oke ..thanks lazada bagus deh",cepat banget barang oke terimakasih lazada bagus deh
1004,5,baguss pull 1 tera smg awet,baguss pull tera semoga awet
1005,4,"pakcking aman, sesuai descripsi. terima kasih blanja murah dan lazada",pakcking aman sesuai descripsi terima kasih blanja murah lazada
1006,4,Barang berfungsi normal,barang fungsi normal
1007,4,Sesuai dengan yang saya pesan. Thanks a lot... Good,sesuai pesan terimakasih a lot good
1008,5,"Barang bagus, sudah saya pakai,, paketan rapi,, terima kasih Lazada",barang bagus pakai paket rapi terima kasih lazada
1009,5,"Cepat Sekali Lazada, Paket Sudah Di Terima Dengan Baik, Barang Pesanan Sesuai Dan Berfungsi Dengan Baik..Terima Kasih Lazada",cepat lazada paket terima barang pesan sesuai fungsi baikterima kasih lazada
1010,5,kemasan sangat rapi. paket sesuai gambar. pengiriman sangat cepat. customer service sangat baik. terima kasih Lazada.,kemas rapi paket sesuai gambar kirim cepat customer servis terima kasih lazada
1011,5,"maaf baru kasih feedback, barang dah sampai saat ini masih berfungsi dgn.baik",maaf kasih feedback barang sudah fungsi dgnbaik
1012,5,"transfer rate cepat, kompatible dg HD 2.5"" dan 3.5"", sampai saat ini dipakai masih tidak ada masalah",transfer rate cepat kompatible dengan hd pakai
1013,5,"Barangnya baru sampai, dan barang sampai 1 hari lebih cepat dari tanggal yg tertera, tp harga barang yg tertera tidak sesuai dengan yang saya bayar di lazada tertera RP 219.000, tp di struk pembelian RP 224.000",barang barang cepat tanggal yang tera tetapi harga barang yang tera sesuai bayar lazada tera rupiah tetapi struk beli rupiah
1014,5,"Barang telah diterima dan berfungsi dengan baik, cuma pengiriman sedikit lebih lama dari yang diharapkan.",barang terima fungsi kirim harap
1015,1,"Saya bayar lebih untuk pengiriman same day service ( gojek ) malah dikirim 2 hari setelahnya. Pembelian dan pembayaran tgl 19 Juni sebelum makan siang. sengaja bayar lebih karena butuh cepat, dan sudah dikejar libur lebaran.  Barang malah dikirim tgl 21 Juni ( lebih dari 24jam ), dimana kantor saya sudah libur lebaran. Pengiriman ternyata pakai ninja express, entah reguler atau gmn, padahal sudah bayar 10rb untuk ongkos kirim same day service. Ketika ditelp ninja express ( tgl 21 juni jam 17.30 an ) , akhirnya saya terpaksa minta titip ke orang lain di daerah sekitar kantor saja, karena sudah tutup kantor . Tumben Kenkez mengecewakan.",bayar kirim same hari servis gojek kirim telah beli bayar tanggal juni makan siang sengaja bayar butuh cepat kejar libur lebaran barang kirim tanggal juni jam mana kantor libur lebaran kirim pakai ninja express reguler bagaimana bayar ongkos kirim same hari servis ditelp ninja express tanggal juni jam an paksa titip orang daerah kantor tutup kantor tumben kenkez kecewa
1016,5,kwalitas bagus dan bisa digunakan sampai sekarang.,kwalitas bagus
1017,5,Kualitas barang bagus dan sesuai pesanan...trims,kualitas barang bagus sesuai pesanantrims
1018,1,"garansi 1 tahun, kartu garansinya mana kok ga da... gmna claim garansinya",garansi kartu garansi tidak da bagaimana claim garansi
1019,5,Barang sampai tepat waktu dan sesuai dengan harapan barang sangat bagus,barang sesuai harap barang bagus
1020,3,barang cukup bagus,barang bagus
1021,1,ga bisa conect ke laptop saya. kecewa,tidak menghubungkan laptop kecewa
1022,5,"good merchandise, d kira buat double docking tyt single.... overall good",good merchandise d double docking tyt single overall good
1023,5,Barang sudah sampai dan langsung dipakai. berfungsi dengan baik. terima kasih,barang langsung pakai fungsi terima kasih
1024,5,"Fungsional Baik, Barang oke banget",fungsional barang oke banget
1025,4,"Barang sudah diterima, sudah ditest dan mantap hasilnya",barang terima ditest mantap hasil
1026,5,"Barang sesuai gambar, thanks lazada",barang sesuai gambar terimakasih lazada
1027,5,Produk bagus dan sangat2 rekomen,produk bagus rekomen
1028,5,"Barangnya udh di terima gan,pengiriman cepat dan kondisi barang mulus",barang sudah terima ganpengiriman cepat kondisi barang mulus
1029,5,"Paket nya cepat sampai, barang bagus sesuai deskripsi, untuk seller saya kasih jempol dua.",paket nya cepat barang bagus sesuai deskripsi penjual kasih jempol
1030,3,"Sudah saya bayar via indomart, tolong segera dikirim ya.",bayar via indomart tolong kirim ya
1031,4,Kirim,kirim
1032,4,"build produk docking nya cukup baik,sesuai lah yah dengan harga. brand orico yg ketiga pernah saya beli (enclousure & hdd hardcase)dan gunakan sejauh ini kualitas nya selalu di katagorikan oke lah yah namun yg perlu di perhatikan pada docking hdd ini adalah kabel adapter nya terasa ringkih sekali alias kalau ketekuk pasti putus kabel nya so kalau bisa produsen orico memilih bahan kabel yg lebih baik lagi...karena jika adaptor nya ini rusak otomatis tidak bisa di gunakan...kecuali orico menjual terpisah khusus adaptor nya... pesan saja bagi para pengguna docking hdd ini cara penyimpanan nya harus extra waspada kabel tidak di gulung sembarangan...serta saat memasukan socket hdd senantiasa hati2 karena tumpuan berat si hdd hanya pada socket itu saja...dan sepanjang lama pemakaian pasti plastik tersebut akan getas.",build produk docking nya baiksesuai yah harga brand orico yang tiga beli enclousure hardcasedan kualitas nya katagorikan oke yah yang perhati docking kabel adapter nya ringkih alias tekuk putus kabel nya jadi produsen orico pilih bahan kabel yang lagikarena adaptor nya rusak otomatis gunakankecuali orico jual pisah khusus adaptor nya pesan guna docking simpan nya extra waspada kabel gulung sembaranganserta pasu socket senantiasa hati tumpu berat si socket sajadan pakai plastik getas
1033,1,barang yang dikirim ga sesuai pesanan orico 6228us3 yang dikirm 619us3 benar benar merepotkan saya kembalikan aja dananya kalo ga bs kirim brg yg benar!!!!!!!,barang kirim tidak sesuai pesan orico us dikirm us repot kembali saja dana kalau tidak bisa kirim barang yang
1034,5,"produk yg tertera kosong info seller, tapi di ganti dg produk yg serupa merk sama, dan berfungsi dengan baik pengiriman sesuai jadwal. Top seller. term kasih",produk yang tera kosong informasi penjual ganti dengan produk yang merk fungsi kirim sesuai jadwal top penjual term kasih
1035,5,Not bad at all,not bad at all
1036,5,"palet diterima, packing bagus, tes lancar no problem 👍",palet terima packing bagus tes lancar nomor problem
1037,4,sesuai dgn harapan,sesuai dengan harap
1038,4,"barang nya kualitas nya baik dan barang  cepat nyampe nya,",barang nya kualitas nya barang cepat sampai nya
1039,4,barangnya lumayan bagus,barang lumayan bagus
1040,5,packing mantab.. barang oke..,packing mantap barang oke
1041,5,barang sudah diterima dengan baik dan bagus... mantap...,barang terima bagus mantap
1042,5,barang berfungsi dengan baik. packaging bagus,barang fungsi packaging bagus
1043,5,working...thx lazada n kenkez...,workingthx lazada n kenkez
1044,5,"Barang sudah diterima Ok, dan proses pengiriman cepat. Terimakasih",barang terima ok proses kirim cepat terimakasih
1045,5,pengiriman bagus dan cepat hanya 2 hari  nice lah,kirim bagus cepat nice
1046,5,"Mantabbbb... Paket sudah tiba, dan bonus'a sangat berguna",mantabbbb paket bonusa guna
1047,5,mantul bonusnya,mantul bonus
1048,5,minta warna biru knapa yang di kirim warna hitam aduhh .,warna biru kenapa kirim warna hitam aduhh
1049,5,"Pesen kemarin siang, sore dicek udah dikirim via JNE. hari ini barang sudah diterima. Kualitas barang oke, bonus juga diberikan sesuai dgn keterangan. Recomended seller",sen kemarin siang sore cek sudah kirim via jne barang terima kualitas barang oke bonus sesuai dengan terang recomended penjual
1050,4,"paket sdh datang kemasan utuh  meskipun agak lambat, kurir ramah trims lazada",paket sudah kemas utuh lambat kurir ramah trims lazada
1051,5,"Barang sampai sesuai estimasi pengiriman, barangnya oke plus hadiahnya juga bagus. Warna case nya lucu....saya suka",barang sesuai estimasi kirim barang oke plus hadiah bagus warna case nya lucusaya suka
1052,5,"thnx gan, sy udah  dpt barangnya tgl 6 psn tgl 8 sore nyampe  bener bener bagus parah dan kualitas produknya beserta bonusnya bener bener mantap parah",thnx juragan saya sudah dapat barang tanggal psn tanggal sore sampai bener bener bagus parah kualitas produk serta bonus bener bener mantap parah
1053,5,"maaf baru beri ulasan..barang bagus, trims lazada 😊",maaf ulasanbarang bagus trims lazada
1054,5,a little bit too big... but very good,a little bit too big but very good
1055,5,"Cepat dalem 24jamClient, bungkus rapih dan Friendly!",cepat dalem jamclient bungkus rapih friendly
1056,4,"Lumyan baguz produknya, size agak besar kalo u/ harddisk external toshiba",lumyan baguz produk size kalau kamu harddisk external toshiba
1057,5,Barang saya terima tepat waktu dan pas bangett,barang terima pas bangett
1058,5,packing dan barang bagus,packing barang bagus
1059,5,"packing rapi,,, barang yang dikirim warna merah,pengiriman cepet, bonus sesuai dengan iklan....",packing rapi barang kirim warna merahpengiriman cepat bonus sesuai iklan
1060,5,harga barang sesuai cuma agak besar. keren,harga barang sesuai keren
1061,2,Brang yg sya pesen tidak lengkap/ kurang 1,brang yang saya sen lengkap
1062,5,sanagt dianjurkan,sanagt anjur
1063,5,sesuai di gambar,sesuai gambar
1064,1,Saya menerima pouch ukuran 3.5 bukan 2.5. Kecewa...,terima pouch ukur kecewa
1065,5,"Terima kasih,barang dan bonus sesuai dengan yang di tawarkan.pengirimannya juga cepat",terima kasihbarang bonus sesuai tawarkanpengirimannya cepat
1066,3,"Pengiriman 3 hari, tapi dateng dateng warna biru, kaga bisa milih",kirim datang datang warna biru tidak milih
1067,5,Keren produknya. Warnanya juga cakep. Pengiriman cepat.,keren produk warna cakep kirim cepat
1068,2,"Bagus tapi barang gak sesuai gambar.bentuk nya beda, Terlalu besar.bonus nya bagus bagus.",bagus barang tidak sesuai gambarbentuk nya beda besarbonus nya bagus bagus
1069,5,Pengiriman cepat. Kualitas baik,kirim cepat kualitas
1070,5,barang telah diterima dengan baik. terima kasih.,barang terima terima kasih
1071,5,"barangnya bagus sih ,, cuma sizenya besar buat hdd ,,  tpi gpplah",barang bagus sih sizenya tapi tidak apa-apalah
1072,5,overall semua bagus otg usb nya tp gaberfungsi.. udah di coba 3 fd ke hp tetep gabisa..,overall bagus otg usb nya tetapi gaberfungsi sudah coba fd hp tetap tidak bisa
1073,5,Pengiriman cepat n brgnya lngkap. Thx seller n lazada.,kirim cepat n brgnya lengkap terimakasih penjual n lazada
1074,4,barang sampai dengan baik. tpi rest buat sofcasenya mudah rusak. tapi barang lainnya berfungsi dengan baik. tolong di cek lagi apa restnya sudah baik juga.,barang tapi rest sofcasenya mudah rusak barang fungsi tolong cek restnya
1075,5,Bagus sesuai dengan gambarnya,bagus sesuai gambar
1076,5,Barang sesuai harga.,barang sesuai harga
1077,4,good product but OTG is useless bcoz it doesnt work.,good produk but otg is useless bcoz it doesnt bekerja
1078,5,mantaap...tdk mengecewakan dan bnyk bonus,mantaaptdk kecewa banyak bonus
1079,5,"Terimakasih, pesanan sdh diterima.",terimakasih pesan sudah terima
1080,5,"pengiriman cepat,terpercaya pokoknya",kirim cepatterpercaya pokok
1081,5,pesanan sudah saya terima dengan baik...dan sangat cepat...terima kasih lazada,pesan terima baikdan cepatterima kasih lazada
1082,4,"Bahan bagus, sepertinya awet, kebesaran dikit buat hd ex saya, but overall okey lah",bahan bagus awet besar sedikit hd contoh but overall okey
1083,4,"bagus tp ukurannya diluar ekspektasi,terlalu besar.",bagus tetapi ukur luar ekspektasiterlalu
1084,5,"buat hd ext. 2T, hardcase ini bagus. kuat. pilihan warna aja yg dikit",hd ext t hardcase bagus kuat pilih warna saja yang sedikit
1085,4,Barang bagus. Dan lengkap sama bonusnya,barang bagus lengkap bonus
1086,4,Barangnya cepat sampai dan bagus,barang cepat bagus
1087,4,Cuman ada sayangnya .. Bentuk dalam casenya beda kaya yang gambar  But is oc keren,cuma sayang bentuk casenya beda kaya gambar but is oc keren
1088,5,case josss,case josss
1089,4,"oke, pesan sekarang besok diterima... sayang segelnya terbuka dan warna bukan biru, semoga kualitas original",oke pesan besok terima sayang segel buka warna biru moga kualitas original
1090,5,"brg udah sy trma,,,, packingx bagus n kuat sehingga brgx dlm kondisi bagus jg,,,, brg n bonusx sesuai dgn gambar, pokoke puas dech,,,, tq Lazada",barang sudah saya trma packingx bagus n kuat brgx dalam kondisi bagus juga barang n bonusx sesuai dengan gambar pokoknya puas dech terimakasih lazada
1091,5,"Packing rapi, sesuai dengan batas waktu pengiriman, setelah dibuka barang pun sesuai dengan yang dideskripsikan mulus dan bonus pun komplit. Bisa jadi rujukan kembali nih jika nanti belanja..Good Job,gan!",packing rapi sesuai batas kirim buka barang sesuai deskripsi mulus bonus komplit rujuk nih belanjagood jobgan
1092,5,"Barang sesuai dengan spek, packingnya rapi, dan bonusnya juga sesuai. Cuma sempet nyasar tu barang ke rumah orang, yang beda komplek sama rumah ane. Padahal pas dicek lagi alamatnya udah bener. Untung yg nerima barang baik bgt, ane ditelp dan dikasi alamat rumah dia buat ngambil barangnya.",barang sesuai spek packingnya rapi bonus sesuai sempet nyasar itu barang rumah orang beda komplek rumah saya pas cek alamat sudah bener untung yang nerima barang banget saya ditelp kasih alamat rumah mengambil barang
1093,5,Barang sdh sampai. Bagus & sesuai  Terimakasih lazada & blanja murah,barang sudah bagus sesuai terimakasih lazada blanja murah
1094,5,Barang sampai sesuai estimasi. Packaging rapi dan bagus. Barang dan hadiah semuanya juga mulus. Thanks so much lazada,barang sesuai estimasi packaging rapi bagus barang hadiah mulus terimakasih jadi much lazada
1095,5,"Pengiriman cepat.. barang yg dipesan sesuai dan aman, juga hadiah barang rendomnya sukaak..",kirim cepat barang yang pes sesuai aman hadiah barang rendomnya sukaak
1096,5,"Sesuai judul, produknya recommended degh :) Gampang juga untuk penggunaannya.",sesuai judul produk recommended degh gampang guna
1097,5,"barangnya original, bekerja dgn baik... speed write&read cepat. mntaplah pokoknya ""Karena jual beli yang baik adalah jual beli yang saling menguntungkan antara si penjual dan pembeli dan tidak ada satu pihak pun yang dirugikan"" LEX nya pun antar brg jga cepat terima kasih☝️👍👍👍",barang original dengan speed writeread cepat mntaplah pokok jual beli jual beli untung si jual beli rugi lex nya barang juga cepat terima kasih
1098,5,"ORICO Enclosure ini dipasangkan dg SSD 860 Samsung, bekerja dg baik utk perangkat Android Tv Box saya.",orico enclosure pasang dengan ssd samsung dengan untuk perangkat android box
1099,4,"Terima kasih kiriman casingnya cepat dan dikemas dg baik, rapih pake bubble wrap jg. Yg pasti ada garansi 1 THN dan dpt potongan harga. Rekomendasi n sukses.",terima kasih kirim casingnya cepat kemas dengan rapih pakai bubble wrap juga yang garansi tahun dapat potong harga rekomendasi n sukses
1100,4,"Pesan sehari, sudah sampai. Packing rapi, dng balutan kardus & plastik hitam. Sudah dicoba & berjalan dng baik. Akan tetapi tidak terpikir mengenai pendingin untuk Mika spt ini, jadi sepertinya bila terlalu lama digunakan bisa panas. Cukup bintang 4 ya. Thanks Seller & Lazada....",pesan hari packing rapi dengan balut kardus plastik hitam coba jalan dengan pikir dingin mika seperti panas bintang ya terimakasih penjual lazada
1101,5,"bekerja dengan baik, pemasangan mudah tanpa tools, kecepatan transfer data ok",pasang mudah tools cepat transfer data ok
1102,5,"Waktu pengiriman cepat, kemasan pengiriman aman dan baik, produk sesuai, segel kotak baik, garansi ada. tidak ada yang kurang dah....",kirim cepat kemas kirim aman produk sesuai segel kotak garansi sudah
1103,5,"Packing rapih, pengiriman besoknya sampai untuk wilayah Cikarang Original, mindahin data cepat Real 3.0 simpel pasang hardisk nya Recommended banget Aku kalo nulis ulasan 1 bulan setelah make barang",packing rapih kirim besok wilayah cikarang original mindahin data cepat real simpel pasang nya recommended banget kalau nulis ulas memakai barang
1104,5,"PACKING bagus.. produk dicoba 1 lancar jaya.. yg 1 nya belum dicoba.. cuman pengirimannya diluar estimasi,, agak lama 4 hari dari estimasi.. apa karena bayar ditempat ya?",packing bagus produk coba lancar jaya yang nya coba cuma kirim luar estimasi estimasi bayar tempat ya
1105,2,setelah saya cek nomor resi saya dinyatakan bahwa pengiriman saya gagal dan barang Dalam perjalanan kembali ke pengirim.Dengan ini saya batalkan pesanan saya. thanks,cek nomor resi nyata kirim gagal barang jalan pengirimdengan batal pesan terimakasih
1106,5,"Barang sampai satu hari lebih cepat dari estimasi barang diterima, paket dikemas dengan baik, agen pengantar juga ramah. Terima kasih",barang cepat estimasi barang terima paket kemas agen antar ramah terima kasih
1107,5,PAKETAN datang sore hari..  baru dijenguk malam hari... jossss!!!! Packing rapih. Bau pabrik. Langgananku LAZADA. Thanks all .. terbaik untuk lazada.. thanks for seller. Happy birthday lazada,paket sore jenguk malam jossss packing rapih bau pabrik langgan lazada terimakasih all baik lazada terimakasih untuk penjual senang ulang tahun lazada
1108,5,"Barangnya bagus, sesuai dengan yang digambar dna bisa langsung dipakai tanpa harus pasang apa-apa lagi.",barang bagus sesuai gambar dna langsung pakai pasang apaapa
1109,4,Pesan Hari Sabtu sampai Hari Selasa Casing Transpasaran Hanya saja Speednya kurang stabil & casingnya terlalu ngepress Untuk Membaca Harddisknya cukup bagus tapi ya kualitas copy filenya speednya tidak sperti USB 3.0 yg lainnya,pesan sabtu selasa casing transpasaran speednya stabil casingnya ngepress baca harddisknya bagus ya kualitas copy filenya speednya sperti usb yang
1110,5,"Pesan barang langsung di proses, dipacking nya juga rapih, barang sampe di awal estimasi. Terpercaya sellernya. Mantap...",pesan barang langsung proses dipacking nya rapih barang sampai estimasi percaya sellernya mantap
1111,5,"Halo, enclosure sudah diterima dan sudah dicoba berjalan normal, untuk garansi bagaimana ya cara nya? saya harus kemana? terima kasih.",halo enclosure terima coba jalan normal garansi ya nya mana terima kasih
1112,5,"Kesan transparan membuat terlihat natural, bongkar pasangnya jg mudah. Hanya saja kualitas cashing plastik perlu ditingkatkan. tapi overall bagus",kesan transparan natural bongkar pasang juga mudah kualitas cashing plastik tingkat overall bagus
1113,5,"Barang sampai dengan cepat banget dan kemasan rapi ndak kecewa lah sya beli, harga sudah bersaing dari produk lain",barang cepat banget kemas rapi tidak kecewa saya beli harga saing produk
1114,5,"Waktu datang sesuai dengan estimasi, dapat discount harbolnas luar biasa, seller pun rensponya cepat. Mantap",sesuai estimasi diskon harbolnas penjual rensponya cepat mantap
1115,5,"Sangat bagus,untuk hardisk laptop pake yg ini lancar sbg eksternal media storage...nggak pake error.Muantaapppp",bagusuntuk laptop pakai yang lancar sebagai eksternal media storagenggak pakai errormuantaapppp
1116,5,"Saya sangat puas, kondisi brang sangat bagus trus dpt tambhn stiker dan surt dari Lazada. Brang sampai kmrin siang sesui dg pmberitahuannya, dan di bngkus dg baik pke bble wrap, jadi brang tdk rusk di prjlnn. Trima kasih buat semuanya trutama LAZADA.",puas kondisi brang bagus terus dapat tambhn stiker surt lazada brang kemarin siang sesui dengan pmberitahuannya bngkus dengan pakai bble wrap brang tidak rusk prjlnn trima kasih terutama lazada
1117,5,Pengiriman cepat. Barang sampai dengan selamat. Sudah ditest.  It's Worked. Semoga awet. Terima kasih,kirim cepat barang selamat ditest its worked moga awet terima kasih
1118,5,Untuk barang sesuai yang diinginkan.. packing bagus.. seharusnya diterima 3 to 4 hari lagi.. tapi dalam 2 hari sdh diterima recommended dhh...,barang sesuai packing bagus terima untuk sudah terima recommended dhh
1119,5,"berfungsi dengan baik , barang sangat sesuai , hardisk tidak goyang , sangat berguna pokoknya ......",fungsi barang sesuai goyang guna pokok
1120,5,"Makasih atas barang nya,sudah terkirim.. Terima kasih banyak hanya sehari saja udah sampai..terima kasih banyak lazada",terimakasih barang nyasudah kirim terima kasih hari sudah sampaiterima kasih lazada
1121,5,"Case HDD 2.5"" bagus tapi terlalu rapat, lubang nafas harddisk jadi tertutupi",case bagus rapat lubang nafas harddisk tutup
1122,5,"Sangat ajaib. Saat saya klik pesan, barangya langsung sampai ! (Bohong)",ajaib klik pesan barangya langsung bohong
1123,5,barang tidak berfungsi.,barang fungsi
1124,5,"kualitas bagus, pengiriman cepat.",kualitas bagus kirim cepat
1125,5,Sudah sampai | Barang sesuai | Overall KEREN,barang sesuai overall keren
1126,5,"Packing rapih dari lazada. Barang sesuai diskripsi cocok buat hardisk 2,5”",packing rapih lazada barang sesuai skripsi cocok
1127,5,"Sip,bagus barangnya sesuai harga",sipbagus barang sesuai harga
1128,5,Barang bagus sesuai gambar. pas di pakai tidak ada masalah..lancar!!!! saya bintang 5..,barang bagus sesuai gambar pas pakai masalahlancar bintang
1129,1,barang belum datang,barang
1130,5,mantab jiwa thks y gan sowry baru cek hehehehhee,mantap jiwa thks y juragan sowry cek hehehehhee
1131,5,Model sesuai di foto produk bagus respon cepat mantap lah pokoknya. Terimakasih,model sesuai foto produk bagus respon cepat mantap pokok terimakasih
1132,5,"Bagus, Rapih Packingnya, Cepat banget sampainya, barang berfungsi dengan baik",bagus rapih packingnya cepat banget sampai barang fungsi
1133,3,"Produk Bagus, packing rapi",produk bagus packing rapi
1134,2,Kadang tiba-tiba unplug sendiri.,kadang tibatiba unplug
1135,5,cepat dan barang terbaik,cepat barang baik
1136,5,"Barang Bekerja Dengan Baik, Pesan Malam Pagi Sudah Sampai. Mantap..!",barang pesan malam pagi mantap
1137,5,"Pengiriman super cepat, packing rapih dan barang berfungsi dengan baik.",kirim super cepat packing rapih barang fungsi
1138,5,"barang ok, presisi. sip. terima kasih",barang ok presisi sip terima kasih
1139,5,Kondisi barang dan packing baik Pengiriman sangat cepat,kondisi barang packing kirim cepat
1140,5,barang sudah diyerima dengan baik...,barang diyerima
1141,3,sampai dengan cepat pakingx bagus barangx belum tak coba terimakasih lazada,cepat pakingx bagus barangx coba terimakasih lazada
1142,5,oke barang sesuai dan pengiriman lumayan cepat,oke barang sesuai kirim lumayan cepat
1143,5,puas puas puas puas puas,puas puas puas puas puas
1144,5,sangat cepat dan barang sesuai,cepat barang sesuai
1145,5,"Pas di hdd, lancar jaya, kabelnya pas ga goyang",pas lancar jaya kabel pas tidak goyang
1146,5,"sehari pesan besok nya dah nyampe,.. good lah,..",hari pesan besok nya sudah sampai good
1147,5,sesuai deskripsinya,sesuai deskripsi
1148,5,"barang asli lg ,, cepet nyampe .. packing nya rapih aman sentosa",barang asli lagi cepat sampai packing nya rapih aman sentosa
1149,3,"Barang bagus, cuman pas di coba HDD nya tidak ke deteksi di laptop",barang bagus cuma pas coba nya deteksi laptop
1150,5,Barang bagus dan berfungsi dengan baik.,barang bagus fungsi
1151,5,"barang 1x24 jam sudah sampai, kemasan rapi, barang mulus & berfungsi dengan baik",barang x jam kemas rapi barang mulus fungsi
1152,5,"Barang mantaf... tidak menegcewakan, gampang gonta ganti HDD",barang mantap menegcewakan gampang gonta ganti
1153,5,mantap dan cepat,mantap cepat
1154,5,Good....Work,goodwork
1155,5,barang bagus pengiriman super cepat,barang bagus kirim super cepat
1156,5,"Pesan malam datang sore hari, jos pokoknya, packingnya juga bagus, thx lazada",pesan malam sore jos pokok packingnya bagus terimakasih lazada
1157,5,Tanpa mur tinggal plug & play. Recommended.,mur tinggal plug play recommended
1158,5,Good Quality...dan sudah ditest...thanks,good qualitydan ditestthanks
1159,5,bagussssssssssssssssssssssssszszz,bagussssssssssssssssssssssssszszz
1160,5,produknya keren... tanpa mur/baut... plug n play.. siip,produk keren murbaut plug n play siip
1161,5,Bekerja dengan baik,
1162,1,"kecewa dengan pelayanannya, pesanan sameday tapi ngak diantar, dan gk ada kontak kurir dan toko",kecewa layan pesan sameday tidak antar tidak kontak kurir toko
1163,5,"Pengiriman cepat, packing aman & rapi, barang berfungsi sesuai harapan.",kirim cepat packing aman rapi barang fungsi sesuai harap
1164,5,Barang tiba lebih awal. Packing rapih super srkali,barang packing rapih super srkali
1165,5,"pengiriman cepat,packaging rapi, barang bagus sama seperti di gambar",kirim cepatpackaging rapi barang bagus gambar
1166,5,"Estimasi dateng tgl 11-15, eeeeh tgl 11 udah sampe, di coba, bisa, mantap nian lah",estimasi datang tanggal eeeeh tanggal sudah sampai coba mantap nian
1167,5,Sekali colok langsung jadi,colok langsung
1168,5,Barang sampai tepat waktu Barang sudah dicoba dan worked! Good build quality! Recomended!,barang barang coba worked good build kualitas recomended
1169,4,"Produk datang tepat waktu, packing rapi dan produk berfungsi dg baik",produk packing rapi produk fungsi dengan
1170,3,"Barang sampai, gaada problem sama sekali, sama mau tanya bab sistem garansi gimana yak?",barang tidak ada problem bab sistem garansi bagaimana yak
1171,5,Kecepatan teransfernya keren barang oke thanks banget lazada dan pelapak,cepat teransfernya keren barang oke terimakasih banget lazada lapak
1172,4,barang cukup lumayan dan diterima cepat,barang lumayan terima cepat
1173,5,"barang sampai dengan aman, thank's",barang aman terimakasih
1174,3,maaf sebelum nya.. ko ini pesenan nya blm sampe yah ? padahal pake jalur 1 hari sampai,maaf nya ko sen nya belum sampai yah pakai jalur
1175,5,"Barang sesuai dengan deskripsi, sudah usb 3.0 mantab",barang sesuai deskripsi usb mantap
1176,4,"Barang ok, berfungsi, packing rapi aman dan kurirnya sangat ramah tanks lzd",barang ok fungsi packing rapi aman kurir ramah terimakasih lzd
1177,5,Cocok dg hdd 2.5 sata,cocok dengan sata
1178,5,barang bagus berfungsi sebagai mana mestinya makasih,barang bagus fungsi mesti terimakasih
1179,4,"Pesanan cepat sampai, packing rapi pakai bubble warp.  Terima kasih Gudang Tupperware dan Lazada",pesan cepat packing rapi pakai bubble warp terima kasih gudang tupperware lazada
1180,4,"barang dah nyampe dengan selamat, proses cepat, packing rapi...., dicoba oke!  pokonya NAISS!",barang sudah sampai selamat proses cepat packing rapi coba oke poko naiss
1181,2,Kecepatannya masih tidak stabil. Kadang hanya 5mbps,cepat stabil kadang mbps
1182,5,sangat puas dengan barang'nya...,puas barang
1183,5,Barang sesuai pesanan. Packing bagus,barang sesuai pesan packing bagus
1184,3,"salah beli beda colokan hardisknya yang punya saya, ya gk kepake deh akhirnya.",salah beli beda colok hardisknya ya tidak terpakai deh
1185,5,Barang samapai sesuai gambar,barang samapai sesuai gambar
1186,5,Bagus Cepat Rapi Istimewa,bagus cepat rapi istimewa
1187,5,barang sesuai dengan gambar dan kualitasnya bagus,barang sesuai gambar kualitas bagus
1188,5,Pemngiriman super cepat. Dan barang bagus.,pemngiriman super cepat barang bagus
